Molecule ChEMBL ID,Standard Value,Calculated pChEMBL,Smiles
CHEMBL140,9600,5.02,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O
CHEMBL16171,8870,5.05,COc1c(O)cc(O)c2c(=O)cc(-c3ccccc3)oc12
CHEMBL165,10200,4.99,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1
CHEMBL226335,2160,5.67,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
CHEMBL231884,10140,4.99,COc1ccc(-c2cc(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3o2)cc1O
CHEMBL2334496,390,6.41,CC(C)(C)OC(=O)N1CCN(C(=S)SCc2cn(Cc3cc(=O)oc4cc(O)ccc34)nn2)CC1
CHEMBL250450,975,6.01,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
CHEMBL3133841,3000,5.52,CC(C)(C)OC(=O)N1CCN(C(=S)SCc2cn(Cc3cc(=O)oc4cc(O)cc(O)c34)nn2)CC1
CHEMBL3133842,830,6.08,CC(C)(C)OC(=O)N1CCN(C(=S)SCc2cn(Cc3cc(=O)oc4c(O)c(O)ccc34)nn2)CC1
CHEMBL3133843,810,6.09,COc1ccc2c(Cn3cc(CSC(=S)N4CCN(C(=O)OC(C)(C)C)CC4)nn3)cc(=O)oc2c1
CHEMBL3133846,670,6.17,CC(C)(C)OC(=O)N1CCN(C(=S)SCc2cn(Cc3cc(=O)oc4cc(Cl)ccc34)nn2)CC1
CHEMBL3133848,84200,4.07,CC(C)(C)OC(=O)N1CCN(C(=S)SCc2cn(Cc3cc(=O)oc4cc(F)ccc34)nn2)CC1
CHEMBL3133849,10330,4.99,CC(C)(C)OC(=O)N1CCN(C(=S)SCc2cn(Cc3cc(=O)oc4ccccc34)nn2)CC1
CHEMBL3133850,530,6.28,CC(C)(C)OC(=O)N1CCN(C(=S)SCc2cn(Cc3cc(=O)oc4cc(N)ccc34)nn2)CC1
CHEMBL3133851,710,6.15,Cc1ccc2c(Cn3cc(CSC(=S)N4CCN(C(=O)OC(C)(C)C)CC4)nn3)cc(=O)oc2c1
CHEMBL3134332,85700,4.07,O=S(=O)(Nc1nc(-c2ccc(Cl)cc2)cs1)c1ccccc1
CHEMBL3134334,44400,4.35,O=S(=O)(Nc1nc(-c2ccc(Cl)cc2)cs1)C(F)(F)F
CHEMBL3134337,43200,4.36,Cc1ccccc1S(=O)(=O)Nc1nc(-c2ccc(Cl)cc2)cs1
CHEMBL3134338,17200,4.76,Cc1cccc(S(=O)(=O)Nc2nc(-c3ccc(Cl)cc3)cs2)c1
CHEMBL3134339,43600,4.36,COc1cccc(S(=O)(=O)Nc2nc(-c3ccc(Cl)cc3)cs2)c1
CHEMBL3134340,76050,4.12,COc1ccc(S(=O)(=O)Nc2nc(-c3ccc(Cl)cc3)cs2)cc1
CHEMBL3134341,7500,5.12,O=S(=O)(Nc1nc(-c2ccc(Cl)cc2)cs1)c1cccc(-c2ccccc2)c1
CHEMBL3134342,15800,4.8,O=S(=O)(Nc1nc(-c2ccc(Cl)cc2)cs1)c1ccc(-c2ccccc2)cc1
CHEMBL3134343,40100,4.4,O=S(=O)(Nc1nc(-c2ccc(Cl)cc2)cs1)c1ccccc1Cl
CHEMBL3134344,10300,4.99,O=S(=O)(Nc1nc(-c2ccc(Cl)cc2)cs1)c1cccc(Cl)c1
CHEMBL3134345,13200,4.88,O=S(=O)(Nc1nc(-c2ccc(Cl)cc2)cs1)c1ccc(Cl)cc1
CHEMBL3134346,18100,4.74,O=S(=O)(Nc1nc(-c2ccc(Cl)cc2)cs1)c1ccccc1C(F)(F)F
CHEMBL3134347,9500,5.02,O=S(=O)(Nc1nc(-c2ccc(Cl)cc2)cs1)c1cccc(C(F)(F)F)c1
CHEMBL3134348,17300,4.76,O=S(=O)(Nc1nc(-c2ccc(Cl)cc2)cs1)c1ccc(C(F)(F)F)cc1
CHEMBL3134349,49200,4.31,O=[N+]([O-])c1ccccc1S(=O)(=O)Nc1nc(-c2ccc(Cl)cc2)cs1
CHEMBL3134350,20300,4.69,O=[N+]([O-])c1cccc(S(=O)(=O)Nc2nc(-c3ccc(Cl)cc3)cs2)c1
CHEMBL3134351,26100,4.58,O=[N+]([O-])c1ccc(S(=O)(=O)Nc2nc(-c3ccc(Cl)cc3)cs2)cc1
CHEMBL3134352,27800,4.56,O=S(=O)(Nc1nc(-c2ccc(Cl)cc2)cs1)c1cccs1
CHEMBL3134353,19300,4.71,O=S(=O)(Nc1nc(-c2ccc(Cl)cc2)cs1)c1cncc(Br)c1
CHEMBL3134354,36100,4.44,Cn1nccc1-c1cncc(S(=O)(=O)Nc2nc(-c3ccc(Cl)cc3)cs2)c1
CHEMBL3134355,26300,4.58,Cc1nccc(-c2cncc(S(=O)(=O)Nc3nc(-c4ccc(Cl)cc4)cs3)c2)n1
CHEMBL3134356,51600,4.29,O=S(=O)(Nc1nc(-c2ccccc2)cs1)c1cccc(Cl)c1
CHEMBL3134357,13700,4.86,O=S(=O)(Nc1nc(-c2ccccc2Cl)cs1)c1cccc(Cl)c1
CHEMBL3134358,10200,4.99,O=S(=O)(Nc1nc(-c2cccc(Cl)c2)cs1)c1cccc(Cl)c1
CHEMBL3134359,61600,4.21,O=[N+]([O-])c1ccccc1-c1csc(NS(=O)(=O)c2cccc(Cl)c2)n1
CHEMBL3134360,13700,4.86,O=[N+]([O-])c1cccc(-c2csc(NS(=O)(=O)c3cccc(Cl)c3)n2)c1
CHEMBL3134361,17600,4.75,O=[N+]([O-])c1ccc(-c2csc(NS(=O)(=O)c3cccc(Cl)c3)n2)cc1
CHEMBL3134362,34900,4.46,O=C(OCO)c1cccc(-c2csc(NS(=O)(=O)c3cccc(Cl)c3)n2)c1
CHEMBL3134363,12900,4.89,O=S(=O)(Nc1nc(-c2cccc(Br)c2)cs1)c1cccc(Cl)c1
CHEMBL3134364,16600,4.78,O=S(=O)(Nc1nc(-c2ccc(Br)cc2)cs1)c1cccc(Cl)c1
CHEMBL3134365,23600,4.63,COc1ccccc1-c1csc(NS(=O)(=O)c2cccc(Cl)c2)n1
CHEMBL3134366,19000,4.72,COc1cccc(-c2csc(NS(=O)(=O)c3cccc(Cl)c3)n2)c1
CHEMBL3134367,26000,4.59,COc1ccc(-c2csc(NS(=O)(=O)c3cccc(Cl)c3)n2)cc1
CHEMBL3134368,29500,4.53,O=S(=O)(Nc1nc(-c2ccc3c(c2)OCCO3)cs1)c1cccc(Cl)c1
CHEMBL3134369,17500,4.76,Cc1sc(NS(=O)(=O)c2cccc(Cl)c2)nc1-c1ccccc1
CHEMBL3134370,13700,4.86,O=S(=O)(Nc1nc(-c2ccccc2)c(-c2ccccc2)s1)c1cccc(Cl)c1
CHEMBL335326,50500,4.3,Cc1ccc(S(=O)(=O)Nc2nc(-c3ccc(Cl)cc3)cs2)cc1
CHEMBL3651146,180,6.74,c1ccc(C2C[C@@H]2NCc2ccc3[nH]ccc3c2)cc1
CHEMBL3698284,40000,4.4,NC1CC1c1ccc(NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)COc2ccccc2)cc1
CHEMBL3900398,41,7.39,NC1CCC(N[C@H]2C[C@@H]2c2ccc(-c3cccc(O)c3)s2)CC1
CHEMBL4060903,210.02,6.68,N/C(=N\O)c1cccc(/C=C/c2ccc(O)cc2)c1
CHEMBL4062570,3610,5.44,N/C(=N\O)c1cccc(/C=C/c2ccncc2)c1
CHEMBL4064882,430,6.37,COc1cc(NS(=O)(=O)c2ccc3c(c2)cc(C)c(=O)n3C)ccc1-n1nc(C)cc1C
CHEMBL4069570,739.11,6.13,N/C(=N\O)c1ccc(/C=C/c2ccc(O)c(O)c2)cc1
CHEMBL4070601,333.54,6.48,N/C(=N\O)c1cccc(/C=C/c2ccc(O)c(O)c2)c1
CHEMBL4072238,123.86,6.91,N/C(=N\O)c1ccc(/C=C/c2cc(O)c(O)cc2Br)cc1
CHEMBL4080291,391.15,6.41,N/C(=N\O)c1ccc(/C=C/c2ccc(O)cc2)cc1
CHEMBL4081219,2590,5.59,N/C(=N\O)c1cccc(/C=C/c2cc(O)cc(O)c2)c1
CHEMBL4088116,30000,4.52,COc1cc(/C=C/C(=O)Nc2ccccc2)ccc1O
CHEMBL4089088,192.93,6.71,N/C(=N\O)c1cccc(/C=C/c2cc(O)c(O)cc2F)c1
CHEMBL4091505,245.8,6.61,N/C(=N\O)c1cccc(/C=C/c2ccc(O)c(F)c2)c1
CHEMBL4093001,197.06,6.71,N/C(=N\O)c1ccc(/C=C/c2cc(O)c(O)cc2F)cc1
CHEMBL4099241,121.23,6.92,N/C(=N\O)c1cccc(/C=C/c2cc(O)c(O)cc2Br)c1
CHEMBL4104513,492.58,6.31,N/C(=N\O)c1ccc(/C=C/c2ccc(O)c(F)c2)cc1
CHEMBL4114926,22,7.66,NC1CCC(N[C@H]2C[C@@H]2c2ccc(-c3ccn[nH]3)cc2)CC1
CHEMBL4162107,15,7.82,COc1ccc(-n2cc(-c3cccc(N)c3C)c3cc(C#N)ccc32)cc1
CHEMBL4163180,4,8.4,Cc1cc2c(cc1C#N)c(-c1cccc(N)c1C)cn2[C@H]1C[C@@H](O)C1
CHEMBL4166084,2210,5.66,O=C(/C=C/c1ccc(CNC2CC2c2ccccc2)cc1)NO
CHEMBL4166623,3,8.52,Cc1cc2c(cc1C#N)c(-c1cccc(N)c1C)cn2[C@@H]1CC[C@@H](O)C1
CHEMBL4170038,9,8.05,COc1ccc(-n2cc(-c3cncc(N)c3C)c3cc(C#N)ccc32)cc1
CHEMBL4173886,3,8.52,Cc1cc2c(cc1C#N)c(-c1cccc(N)c1C)cn2[C@H]1CC[C@H](O)CC1
CHEMBL4175912,4,8.4,CN[C@H]1CC[C@@H](n2cc(-c3cccc(N)c3C)c3cc(C#N)c(C)cc32)CC1
CHEMBL4176702,3850,5.41,Nc1ccccc1NC(=O)/C=C/c1ccc(CNC2CC2c2ccccc2)cc1
CHEMBL4237521,6420,5.19,CCc1ccc(N2C(=O)NC(=O)/C(=C\c3cc4ccccc4[nH]3)C2=O)cc1
CHEMBL4237686,4400,5.36,Cc1ccccc1N1C(=O)NC(=O)C(=Cc2cc3ccccc3[nH]2)C1=O
CHEMBL4238393,3100,5.51,COc1ccc(N2C(=O)NC(=O)C(=Cc3ccc(O)c(O)c3)C2=O)cc1
CHEMBL4239151,2800,5.55,COc1ccc(C=C2C(=O)NC(=O)N(c3ccc(Br)cc3)C2=O)cc1OC
CHEMBL4240336,755,6.12,O=C1NC(=S)N(c2ccc(Br)cc2)C(=O)C1=Cc1ccc(O)c(O)c1
CHEMBL4240782,1100,5.96,Cc1ccc(N2C(=O)NC(=O)C(=Cc3cc4ccccc4[nH]3)C2=O)cc1
CHEMBL4241311,550,6.26,COc1cc(C=C2C(=O)NC(=O)N(c3ccc(Br)cc3)C2=O)cc(OC)c1O
CHEMBL4244132,3600,5.44,COc1ccc(C=C2C(=O)NC(=O)N(c3ccc(Br)cc3)C2=O)c(OC)c1OC
CHEMBL4244605,1200,5.92,N#Cc1ccc(N2C(=O)NC(=O)C(=Cc3ccc(O)c(O)c3)C2=O)cc1
CHEMBL4245069,870,6.06,COc1cc(C=C2C(=O)NC(=O)N(c3ccc(Br)cc3)C2=O)ccc1O
CHEMBL4248408,300,6.52,O=C1NC(=O)N(c2ccc(Br)cc2)C(=O)C1=Cc1ccc(O)c(O)c1
CHEMBL4248864,23000,4.64,Cc1ccc(N2C(=O)NC(=O)C(=Cc3cccc(O)c3)C2=O)cc1
CHEMBL4248955,18200,4.74,COc1ccc(N2C(=O)NC(=O)/C(=C\c3ccc(N4CCOCC4)c(F)c3)C2=O)cc1
CHEMBL4251434,3600,5.44,COc1ccc(C=C2C(=O)NC(=O)N(c3ccc(Br)cc3)C2=O)cc1O
CHEMBL4291413,90,7.05,CCC(=C(c1ccc(OCCN(C)C)cc1)c1ccc(C(=O)N(C)CCN(C)[C@H]2C[C@@H]2c2ccccc2)cc1)c1ccccc1
CHEMBL4292825,69.1,7.16,Cn1c(CN[C@H]2C[C@@H]2c2ccccc2)cc2ccccc21
CHEMBL4303182,4160,5.38,O=C(O)c1cc(N2N=C(C(F)(F)F)/C(=C/c3ccc(-c4ccccc4)o3)C2=O)ccc1Cl
CHEMBL4436792,2886.5,5.54,N/C(=N\O)c1cccc(/C=C/c2ccnc(-c3cc(F)ccc3O)c2)c1
CHEMBL4439541,8410,5.08,C=C1C(=O)OCC1C(O)c1cn(Cc2nccc(OCCCOC)c2C)c2ccc(Cl)cc12
CHEMBL4440188,2960,5.53,Nc1ccc(/C=C/c2ccnc(-c3ccccc3O)c2)cc1
CHEMBL4440274,8600,5.07,Cl.O=C(/C=C/c1cccc(O)c1)Nc1cccc(OCC2CCNCC2)c1
CHEMBL4444100,6200,5.21,COc1cc(/C=C/C(=O)Nc2ccc(CCC(=O)NO)cc2)ccc1O
CHEMBL4444151,9030,5.04,Nc1ccc(/C=C/c2ccnc(-c3cc(F)ccc3O)c2)cc1
